Branch ID,Branch,Address,Postal Code,Phone Number,Free WiFi,Monday Open,Monday Close,Tuesday Open,Tuesday Close,Wednesday Open,Wednesday Close,Thursday Open,Thursday Close,Friday Open,Friday Close,Saturday Open,Saturday Close,Sunday Open,Sunday Close,Latitude,Longitude,Location,Neighbourhood Boundaries : 2019,Roadway Maintenance Area Polygon,"Edmonton Public School Board (EPSB) Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)","Edmonton Catholic School District Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)","City of Edmonton - Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)",:@computed_region_da6r_6gkw,:@computed_region_3z8d_fhyb
EPLWOO,Woodcroft (Westmount),13420 - 114 Avenue,T5M 2Y5,780-496-1830,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.5637555,-113.5538643,"(53.5637555, -113.5538643)",19,209,3,1,5,2,
EPLRIV,Riverbend,"460 Riverbend Square, Rabbit Hill Road & Terwillegar Drive",T6R 2X2,780-944-5311,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.4683942,-113.5837689,"(53.4683942, -113.5837689)",85,64,6,6,12,9,
EPLESQ,Enterprise Square (Downtown),10212 Jasper Avenue NW,T5J 4P6,780-496-7000,Yes,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,18:00,13:00,17:00,53.541194,-113.496835,"(53.541194, -113.496835)",338,242,4,5,9,6,
EPLJPL,Jasper Place,9010 - 156 Street,T5R 5X7,780-496-1810,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.5232259,-113.5903997,"(53.5232259, -113.5903997)",27,83,5,4,1,1,
EPLLHL,Lois Hole (Callingwood),17650 69 Avenue,T5T 3X9,780-442-0888,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.5037705,-113.6260742,"(53.5037705, -113.6260742)",60,25,5,4,8,5,
EPLHIG,Highlands,6710 - 118 Avenue,T5B 0P3,780-496-1806,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.57058,-113.44505,"(53.57058, -113.44505)",226,8,4,3,10,7,
EPLMEA,Meadows,2702 - 17 Street,T6T 0X1,780-442-7472,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.457502,-113.370389,"(53.457502, -113.370389)",230,134,7,7,4,12,
EPLABB,Abbottsfield - Penny McKee,3410 - 118 Avenue,T5W 0Z4,780-496-7839,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.5704509,-113.3915179,"(53.5704509, -113.3915179)",243,176,4,3,10,7,
EPLSPW,Sprucewood,11555 - 95 Street,T5G 1L5,780-496-7099,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.5666547,-113.4871741,"(53.5666547, -113.4871741)",42,150,4,3,10,7,
EPLSTR,Strathcona,8331 - 104 Street,T6E 4E9,780-496-1828,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.5194554,-113.4974797,"(53.5194554, -113.4974797)",315,9,6,5,11,8,
EPLWHP,West Henday Promenade (Lewis Estates),"818 Webber Greens Drive, West Henday Promenade",T5T 4K5,780-496-8342,Yes,10:00,18:00,13:00,21:00,10:00,18:00,13:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.52349,-113.667354,"(53.52349, -113.667354)",341,158,3,4,1,1,
EPLCSD,Castle Downs,"106 Lakeside Landing, 15379 Castle Downs Rd",T5X 3Y7,780-496-1804,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.6157356,-113.5166333,"(53.6157356, -113.5166333)",192,236,1,2,6,3,
EPLCLV,Clareview,3808 - 139 Avenue,T5Y 3G4,780-442-7471,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.601302,-113.401769,"(53.601302, -113.401769)",202,184,2,3,7,4,
EPLLON,Londonderry,"Suite 166, 1 Londonderry Mall NW",T5C 3C8,780-496-1814,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,9:30,17:30,13:00,17:00,53.603432,-113.445778,"(53.603432, -113.445778)",15,165,2,3,10,7,
EPLCPL,Capilano,9915 - 67 Street,T6A 3Z7,780-496-1802,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.5378963,-113.4199269,"(53.5378963, -113.4199269)",23,123,7,5,11,8,
EPLMCN,McConachie,16607 - 50 Street,T5Y 0C8,780-442-5314,Yes,10:00,18:00,13:00,21:00,10:00,18:00,13:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.62794,-113.411279,"(53.62794, -113.411279)",217,189,2,2,7,4,
EPLIDY,Idylwylde (Bonnie Doon),8310 88 Avenue,T6C 1L1,780-496-1808,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.5235044,-113.4593749,"(53.5235044, -113.4593749)",269,80,4,5,11,8,
EPLWMC,Whitemud Crossing,"145 Whitemud Crossing Shopping Centre, 4211 - 106 Street",T6J 6L7,780-496-1822,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.4794861,-113.5041223,"(53.4794861, -113.5041223)",142,20,6,6,2,10,
EPLHVY,Heritage Valley,2755-119A Street SW,T6W 0E2,780-496-4834,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.40748,-113.537569,"(53.40748, -113.537569)",310,82,8,6,12,9,
EPLMLW,Mill Woods,2610 Hewes Way,T6L 0A9,780-496-1818,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.4554447,-113.4343797,"(53.4554447, -113.4343797)",63,46,9,7,3,11,
EPLCAL,Calder,12710 - 131 Avenue NW,T5L 2Z6,780-496-7090,Yes,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,18:00,10:00,18:00,13:00,17:00,53.590515,-113.542369,"(53.590515, -113.542369)",62,105,1,1,5,2,
