Library_System,Library_Branch,Latitude,Longitude
Halifax Public Libraries,Alderney Gate Public Library,44.664663,-63.56928
Halifax Public Libraries,Bedford Public Library,44.729392,-63.655615
Halifax Public Libraries,Captain William Spry Public Library,44.609366,-63.618435
Halifax Public Libraries,Central Library,44.642753,-63.575587
Halifax Public Libraries,Cole Harbour Public Library,44.683575,-63.490151
Halifax Public Libraries,Dartmouth North Public Library,44.684011,-63.58882
Halifax Public Libraries,Halifax North Memorial Public Library,44.654032,-63.585723
Halifax Public Libraries,J.D. Shatford Memorial Public Library,44.638887,-64.061568
Halifax Public Libraries,Keshen Goodman Public Library,44.658873,-63.667038
Halifax Public Libraries,Sackville Public Library,44.768777,-63.688151
Halifax Public Libraries,Sheet Harbour Public Library,44.917572,-62.527166
Halifax Public Libraries,Musquodoboit Harbour Public Library,44.786439,-63.148682
Halifax Public Libraries,Tantallon Public Library,44.70329,-63.857959
Halifax Public Libraries,Woodlawn Public Library,44.66837,-63.521436
