X,Y,OBJECTID,Name,Address,City,Postal_Code,Arena,Fitness_Centre,Community_Centre,Library,Senior_Citizens_Centre,Picnic_Tables,Playground_Equipment,Pool,Tennis_Courts,Track,Categories,F19
652062.443900000303984,4864628.3856,1,Animal Services,1688 Highway 7,Brougham,L0H 1A0,No,No,No,No,No,No,No,No,No,No,City Facility,
651979.854799999855459,4864549.585699999705,2,Bentley House,3590 Mowbray St,Pickering,L0H 1A0,No,No,No,No,No,No,No,No,No,No,Other,
652073.040699999779463,4864448.1412,3,Brougham Hall,3545 Mowbray St,Brougham,L0H 1A0,No,No,Yes,No,No,No,No,No,No,No,Community Centre,
654145.319799999706447,4858379.511,4,Centennial Park Club House,2250 Brock Road,Pickering,L1V 2P8,No,No,No,No,No,No,No,No,No,No,Community Centre,
654027.350899999961,4855635.8235,5,City Hall,1 The Esplanade,Pickering,L1V 6K7,No,No,No,No,No,No,No,No,No,No,City Facility,
650125.720599999651313,4870281.988299999386,6,Claremont Library Branch,4941 Brock Road,Claremont,L1Y 1A9,No,No,No,Yes,No,No,No,No,No,No,Library,
655206.144000000320375,4854620.195199999958,7,Don Beer Arena,940 Dillingham Rd,Pickering,L1W 1Z6,Yes,No,No,No,No,No,No,No,No,No,Community Centre,
650100.717400000430644,4870271.6695,8,Dr. Nelson F. Tomlinson Community Centre,4941 Brock Road,Claremont,L1Y 1A9,No,No,Yes,No,No,No,No,No,No,No,Community Centre,
651247.114799999631941,4853671.0294,9,Dunbarton Indoor Pool,655 Sheppard Avenue,Pickering,L1V 1G1,No,No,No,No,No,No,No,Yes,No,No,Community Centre,
653834.880400000140071,4854407.690799999982,10,East Shore Community Centre,910 Liverpool Road,Pickering,L1W 1S6,No,No,Yes,No,No,No,No,No,No,No,Community Centre,
651057.053100000135601,4852902.9085,11,Fire Station #2,553 Kingston Road,Pickering,L1V 3N7,No,No,No,No,No,No,No,No,No,No,Fire Station,
650067.776800000108778,4870260.821599999443,12,Fire Station #4,4941 Brock Road,Claremont,L1Y 1A9,No,No,No,No,No,No,No,No,No,No,Fire Station,
655006.992600000463426,4855070.39499999955,13,Fire Station #5 (Headquarters),1616 Bayly Street,Pickering ,L1W 3N2,No,No,No,No,No,No,No,No,No,No,Fire Station,
652464.154,4856233.7783,14,Fire Station #6,1115 Finch Avenue,Pickering ,L1V 1J7,No,No,No,No,No,No,No,No,No,No,Fire Station,
654896.4934,4865385.6893,15,Greenwood Community Centre,3551 Greenwood Road,Greenwood,L0H 1E0,No,No,Yes,No,No,No,No,No,No,No,Community Centre,
655779.4348,4869419.4952,16,Mt. Zion Community Centre,4230 Sideline 6,Pickering,L1Y 1A2,No,No,Yes,No,No,No,No,No,No,No,Community Centre,
653287.543899999931,4859651.955,17,Operations Centre,2570 Tillings Road,Pickering,L1V 2P8,No,No,No,No,No,No,No,No,No,No,City Facility,
650792.0082,4852745.990399999544,18,George Ashe Library,470 Kingston Road,Pickering,L1V 1A4,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Library,
650740.208800000138581,4852777.5754,19,George Ashe Community Centre,470 Kingston Road,Pickering,L1V 1A4,No,No,No,Yes,No,No,No,No,No,No,Community Centre,
654071.569899999536574,4855600.4483,20,Pickering Central Library,1 The Esplanade,Pickering,L1V 6K7,No,No,No,Yes,No,No,No,No,No,No,Library,
654526.189299999736249,4865459.3166,21,Pickering Museum Village,2365 Concession Rd 6 ,Greenwood,L0H 1H0,No,No,No,No,No,Yes,No,No,No,No,City Facility,
654308.496899999678135,4855822.902799999341,22,Pickering Recreation Complex,1867 Valley Farm Rd,Pickering,L1V 3Y7,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Community Centre,
653820.886599999852479,4854446.26899999939,23,South Pickering Senior's Club,910 Liverpool Rd,Pickering,L1W 1S6,No,No,No,No,Yes,No,No,No,No,No,Community Centre,
652757.305399999954,4854003.486199999228,24,West Shore Community Centre,1011 Bayly Street,Pickering,L1W 1L3,No,No,Yes,No,No,No,No,No,No,No,Community Centre,
647588.341599999927,4860930.826199999079,25,Whitevale Community Centre,475 Whitevale Rd,Whitevale,L0H 1M0,No,No,Yes,No,No,No,No,No,No,No,Community Centre,
646184.387799999676645,4862644.305,26,Green River Community Centre,190 Highway 7,Green River,L0H 1J0,No,No,Yes,No,No,No,No,No,No,No,Community Centre,
654026.561200000345707,4853245.365299999714,27,Progress Club House,680 Front Road,Pickering,L1X 1R1,No,No,Yes,No,No,No,No,No,No,No,Community Centre,
