Name,Address,WIFI,Accessibility,Room Rentals,Room Rental Info,Parking Lot,Parking Stalls,Notes,Website,Complex ID,Location 1,Wards,Neighborhoods,Zip Codes
Charleswood Library,6-4910 Roblin Blvd,true,true,false,,true,23,,http://wpl.winnipeg.ca/library/branchpages/branch.aspx?chas,135,"(49.8577406443484, -97.2852002292355)",15,219,
Cornish Library,20 West Gate,true,false,true,Program Room,false,,metered street,http://wpl.winnipeg.ca/library/branchpages/branch.aspx?cnsh,166,"(49.878363095432, -97.1599419874116)",6,22,
Fort Garry Library,1360 Pembina Hwy,true,true,true,Meeting Room,true,10,,http://wpl.winnipeg.ca/library/branchpages/branch.aspx?ftga,173,"(49.8395393660551, -97.151387646357)",6,109,
Harvey Smith (West End) Library,999 Sargent Ave,true,true,true,Cindy Klassen Recreation Complex Meeting Room & Community Use Room,true,,Cindy Klassen Recreation Complex lot,https://wpl.winnipeg.ca/library/branchpages/branch.aspx?harv,29,"(49.8976383983215, -97.1800734549503)",3,70,
Henderson Library,1-1050 Henderson Hwy,true,true,true,Metting Rooms 1 & 2,false,,Rossmere Shopping Centre lot,http://wpl.winnipeg.ca/library/branchpages/branch.aspx?hend,110,"(49.9366855026302, -97.0959260392081)",10,4,
Louis Riel Library,1168 Dakota St,true,true,true,Conference Room & Tutorial Room,true,30,,http://wpl.winnipeg.ca/library/branchpages/branch.aspx?riel,177,"(49.8199465030097, -97.0996042445363)",7,88,
Millennium Library,251 Donald St,true,true,true,"Carol Shields Auditorium, Buchawald Room, Anhang Room, Meeting Rooms 1, 2 & 3, Tutorial Rooms A & B, Computer Training Lab",true,,2 level underground lot,http://wpl.winnipeg.ca/library/branchpages/branch.aspx?mill,165,"(49.8918237857072, -97.141876149768)",6,153,
Munroe Library,489 London St,true,true,true,Program Room,false,,Munroe Shopping Centre lot,http://wpl.winnipeg.ca/library/branchpages/branch.aspx?munr,117,"(49.9106558605433, -97.0819703214326)",1,89,
Osborne Library,625 Osborne St,true,true,true,Fort Rouge Leisure Centre Meeting Room,true,,Fort Rouge Recreation & Leisure Centre lot,http://wpl.winnipeg.ca/library/branchpages/branch.aspx?osbn,51,"(49.8633897776926, -97.1345260496663)",6,99,
Pembina Trail Library,2724 Pembina Hwy,true,true,true,Myrtle Lorimer Meeting Room,true,38,,http://wpl.winnipeg.ca/library/branchpages/branch.aspx?pemb,175,"(49.7937804013518, -97.1566512788434)",7,201,
River Heights Library,1520 Corydon Ave,true,false,true,Storytime / Meeting Room,false,,Limited street parking,http://wpl.winnipeg.ca/library/branchpages/branch.aspx?rivh,136,"(49.8631912260328, -97.1890400829416)",5,66,
Sir William Stephenson Library,765 Keewatin St,true,true,true,Meeting Room,true,,on-site parking,http://wpl.winnipeg.ca/library/branchpages/branch.aspx?swst,9,"(49.9365214380412, -97.1942145991283)",12,15,
St. Boniface Library,100-131 Provencher Blvd,true,true,true,"Salle de Conference, Salle Marie Lynne Bernard",true,10,,http://wpl.winnipeg.ca/library/branchpages/branch.aspx?sbon,109,"(49.891820618923, -97.1247526230123)",8,184,
St. James-Assiniboia Library,1910 Portage Ave,true,false,true,Program Room,true,24,,http://wpl.winnipeg.ca/library/branchpages/branch.aspx?sjas,43,"(49.8779572358533, -97.2216434062693)",13,32,
St. John's Library,500 Salter St,true,true,true,Program Room,false,,Limited street parking,http://wpl.winnipeg.ca/library/branchpages/branch.aspx?stjn,76,"(49.9255724918017, -97.1332014748888)",4,121,
St. Vital Library,6 Fermor Ave,true,false,true,Programming Room,true,,limited on-site parking,http://wpl.winnipeg.ca/library/branchpages/branch.aspx?svtl,174,"(49.8518147397205, -97.1134644095468)",11,21,
Transcona Library,111 Victoria Ave W,true,true,true,"Board Room, Program Room",true,6,,http://wpl.winnipeg.ca/library/branchpages/branch.aspx?tran,119,"(49.8961169400684, -97.0035398344531)",9,175,
West Kildonan Library,365 Jefferson Ave,true,true,true,Auditorium,true,12,,http://wpl.winnipeg.ca/library/branchpages/branch.aspx?wkdn,75,"(49.936693679287, -97.1278577184293)",4,102,
Westwood Library,66 Allard Ave,true,true,true,Storytime / Meeting Room,true,12,,http://wpl.winnipeg.ca/library/branchpages/branch.aspx?wswd,58,"(49.8782116604993, -97.3032163120811)",14,63,
Windsor Park Library,1195 Archibald St,true,true,true,Program Room. Tutorial Room,true,28,on-site parking,http://wpl.winnipeg.ca/library/branchpages/branch.aspx?wnsp,172,"(49.8614153744993, -97.0881431357648)",8,171,
